lat,lon,builtup_pct,n_px
22.4422,113.7222,0.0,2862
22.4422,113.7267,0.0,2862
22.4422,113.7312,0.0,2862
22.4422,113.7357,0.0,2862
22.4422,113.7402,0.0,2862
22.4422,113.7447,0.0,2862
22.4422,113.7492,0.0,2862
22.4422,113.7537,0.0,2862
22.4422,113.7582,0.0,2862
22.4422,113.7627,0.0,2809
22.4422,113.7672,0.0,2862
22.4422,113.7717,0.0,2862
22.4422,113.7761,0.0,2862
22.4422,113.7806,0.0,2862
22.4422,113.7851,0.0,2862
22.4422,113.7896,0.0,2862
22.4422,113.7941,0.0,2862
22.4422,113.7986,0.0,2862
22.4422,113.8031,0.0,2862
22.4422,113.8076,0.0,2809
22.4422,113.8121,0.0,2862
22.4422,113.8166,0.0,2862
22.4422,113.8211,0.0,2862
22.4422,113.8256,0.0,2862
22.4422,113.83,0.0,2862
22.4422,113.8345,0.0,2862
22.4422,113.839,0.0,2862
22.4422,113.8435,0.0,2862
22.4422,113.848,0.0,2862
22.4422,113.8525,0.0,2809
22.4422,113.857,0.0,2862
22.4422,113.8615,0.0,2862
22.4422,113.866,0.0,2862
22.4422,113.8705,0.0,2862
22.4422,113.875,0.0,2862
22.4422,113.8795,0.0,2862
22.4422,113.8839,0.0,2862
22.4422,113.8884,0.0,2862
22.4422,113.8929,0.0,2862
22.4422,113.8974,0.0,2809
22.4422,113.9019,0.0,2862
22.4422,113.9064,0.0,2862
22.4422,113.9109,0.0,2862
22.4422,113.9154,0.0,2862
22.4422,113.9199,0.0,2862
22.4422,113.9244,0.0,2862
22.4422,113.9289,0.0,2862
22.4422,113.9333,0.0,2862
22.4422,113.9378,0.0,2862
22.4422,113.9423,0.0,2809
22.4422,113.9468,0.0,2862
22.4422,113.9513,2.9,2862
22.4422,113.9558,10.6,2862
22.4422,113.9603,6.0,2862
22.4422,113.9648,1.4,2862
22.4422,113.9693,0.0,2862
22.4422,113.9738,0.0,2862
22.4422,113.9783,0.9,2862
22.4422,113.9828,8.5,2862
22.4422,113.9872,67.0,2809
22.4422,113.9917,79.8,2862
22.4422,113.9962,77.1,2862
22.4422,114.0007,75.9,2915
22.4422,114.0052,79.2,2862
22.4422,114.0097,76.0,2862
22.4422,114.0142,62.9,2862
22.4422,114.0187,61.6,2862
22.4422,114.0232,92.6,2862
22.4422,114.0277,94.0,2862
22.4422,114.0322,96.6,2809
22.4422,114.0367,88.7,2862
22.4422,114.0411,47.4,2862
22.4422,114.0456,42.7,2862
22.4422,114.0501,36.2,2862
22.4422,114.0546,58.9,2862
22.4422,114.0591,40.5,2862
22.4422,114.0636,50.5,2862
22.4422,114.0681,39.8,2862
22.4422,114.0726,60.1,2809
